,c
485,0.84564
486,0.80769
487,0.99882
488,0.99905
489,0.9995200000000001
490,1.0013
491,1.0007
492,0.7709199999999999
493,0.7888
494,0.9998100000000001
495,0.8270200000000001
496,0.99965
497,1.0001
498,0.9250200000000001
499,0.9176
500,1.0009
501,0.85269
502,1.0005
503,0.8830899999999999
504,1.0012
505,0.99971
506,0.9986299999999999
507,0.9985700000000001
508,0.99992
509,0.86539
510,0.99992
511,0.76586
512,1.0001
513,1.0002
514,0.8195100000000001
515,0.99945
516,0.8865799999999999
517,0.81288
518,1.0008
519,0.9993299999999999
520,0.86485
521,0.99989
522,0.74358
523,1.0006
524,0.8861100000000001
525,0.9995799999999999
526,1.0002
527,0.99989
528,0.99989
529,1.0002
530,0.8638600000000001
531,1.0016
532,0.91445
533,0.9007700000000001
534,0.95649
535,0.80525
536,0.89417
537,0.79272
538,0.84619
539,0.78803
540,0.90694
541,0.86813
542,0.84011
543,0.8057300000000001
544,0.76954
545,0.99902
546,0.82034
547,0.9996799999999999
548,0.9995299999999999
549,0.9999299999999999
550,0.83099
551,0.9070299999999999
552,0.8220299999999999
553,0.7852399999999999
554,0.93169
555,0.8341200000000001
556,0.8451299999999999
557,0.87449
558,0.77722
559,0.99976
560,0.9995
561,0.72702
562,0.9981899999999999
563,1.0004
564,1.0001
565,1.0013
566,0.9220799999999999
567,0.84116
568,0.8668600000000001
569,0.8597100000000001
570,1.0005
571,0.91199
572,0.8649700000000001
573,0.9997299999999999
574,0.99987
575,0.91215
576,0.79052
577,0.99989
578,0.9993799999999999
579,0.8540399999999999
580,0.99945
581,0.8410799999999999
582,0.8878
583,0.8472
584,0.8354
585,0.79504
586,0.82663
587,0.8610200000000001
588,0.99972
589,0.8688899999999999
590,1.0024
591,0.8198799999999999
592,0.92906
593,0.9975799999999999
594,0.8321799999999999
595,0.96916
596,0.8002199999999999
597,1.0003
598,0.88021
599,1.0013
600,0.8750600000000001
601,0.80635
602,0.81504
603,0.8230299999999999
604,0.99935
605,0.8236
606,1.0014
607,1.002
608,0.8819100000000001
609,0.88134
610,0.85301
611,0.7962199999999999
612,1.0007
613,0.86051
614,0.89164
615,0.99929
616,0.9990600000000001
617,0.9998600000000001
618,1.0
619,0.99926
620,1.0007
621,1.0015
622,0.85308
623,0.84783
624,0.8600700000000001
625,0.9986200000000001
626,0.9976700000000001
627,0.88515
628,1.0006
629,1.0029
630,0.99936
631,1.0006
632,0.85125
633,1.0005
634,0.99959
635,0.8232799999999999
636,0.91884
637,0.9991899999999999
638,0.8921
639,0.99787
640,1.0013
641,0.8590200000000001
642,0.87774
643,0.80992
644,0.84335
645,1.0003
646,0.98193
647,1.0009
648,0.7954899999999999
649,0.81377
650,0.99875
651,0.82639
652,1.0013
653,1.0013
654,0.8588600000000001
655,1.001
656,0.85885
657,0.9268700000000001
658,1.0006
659,0.9994
660,0.9772700000000001
661,1.0011
662,1.0005
663,0.82458
664,0.8644700000000001
665,1.0014
666,0.8456299999999999
667,0.8773299999999999
668,0.83467
669,0.9270700000000001
670,1.0007
671,0.99898
672,1.0009
673,0.9996299999999999
674,0.99945
675,1.0003
676,0.9999
677,0.99875
678,1.0001
679,1.0002
680,0.8582
681,1.0001
682,0.8129
683,1.0001
684,1.0002
685,0.8104899999999999
686,0.99975
687,1.0003
688,0.8102199999999999
689,0.8941
690,0.9999100000000001
691,1.0001
692,0.9971399999999999
693,0.99961
694,0.83383
695,0.9999
696,0.8308200000000001
697,0.80724
698,1.002
699,1.0005
700,0.80991
701,0.9991399999999999
702,0.7640600000000001
703,0.8860899999999999
704,0.7975
705,0.90441
706,0.99972
707,0.9003700000000001
708,1.0007
709,0.99921
710,0.9232
711,0.9991700000000001
712,0.9976200000000001
713,0.73229
714,0.9986200000000001
715,0.9989299999999999
716,0.9991
717,0.9989600000000001
718,0.9995799999999999
719,0.82209
720,0.9992700000000001
721,1.0003
722,0.82294
723,1.0006
724,0.79515
725,0.84015
726,0.99977
727,0.76236
728,0.92222
729,0.99846
730,0.8387
731,1.0017
732,1.0007
733,0.99882
734,0.84959
735,1.0
736,0.88938
737,1.0006
738,1.0024
739,1.001
740,0.8742700000000001
741,0.78323
742,1.0001
743,0.8569100000000001
744,0.9995
745,0.8482299999999999
746,0.9280700000000001
747,0.99718
748,1.0001
749,0.88471
750,0.99898
751,0.9998299999999999
752,0.84134
753,0.99939
754,1.0003
755,1.0011
756,1.0009
757,1.0017
758,0.77837
759,0.8513
760,1.0006
761,0.7961600000000001
762,0.99913
763,0.9988799999999999
764,1.0014
765,0.8581799999999999
766,0.8549399999999999
767,1.0006
768,0.99928
769,0.78268
770,0.8402700000000001
771,1.0009
772,0.9986200000000001
773,0.8535
774,1.0003
775,0.9991899999999999
776,0.77476
777,0.87792
778,0.79227
779,0.9078700000000001
780,0.78091
781,1.001
782,0.85319
783,0.8671700000000001
784,0.9990899999999999
785,0.9993799999999999
786,0.9412299999999999
787,1.0002
788,0.75938
789,0.87921
790,0.99985
791,0.83544
792,1.0009
793,0.94142
794,1.0006
795,0.85975
796,0.7973399999999999
797,0.92579
798,0.73656
799,0.9995799999999999
800,0.8341
801,1.0001
802,0.9995799999999999
803,0.83825
804,0.99845
805,0.8193
806,1.0011
807,0.79162
808,0.91596
809,1.001
810,0.75748
811,1.0013
812,0.90181
813,0.8733299999999999
814,0.99977
815,0.9986700000000001
816,0.85416
817,0.9992200000000001
818,0.8472
819,0.87495
820,1.0008
821,0.99918
822,0.8641700000000001
823,0.8294799999999999
824,0.84745
825,0.9994200000000001
826,0.99987
827,0.7923399999999999
828,0.85977
829,1.001
830,0.87674
831,0.75962
832,1.0005
833,0.9993299999999999
834,0.99851
835,0.85503
836,1.0014
837,0.87897
838,0.99884
839,0.9990899999999999
840,0.99941
841,0.90676
842,1.0
843,0.8286600000000001
844,0.99998
845,0.89945
846,0.8868
847,0.85672
848,0.8288200000000001
849,0.99966
850,1.0018
851,1.0004
852,0.9994200000000001
853,0.7608600000000001
854,0.99925
855,1.0019
856,1.0001
857,0.9999399999999999
858,0.89751
859,1.0015
860,1.0002
861,0.9012899999999999
862,0.89823
863,0.99956
864,0.9999
865,0.90012
866,0.79259
867,0.90275
868,0.88526
869,0.80011
870,0.9993299999999999
871,0.9990700000000001
872,0.81685
873,0.98621
874,0.9996700000000001
875,0.91635
876,1.0016
877,0.79171
878,0.8320799999999999
879,0.99908
880,1.0
881,0.8559
882,1.0013
883,0.9991399999999999
884,0.78522
885,0.99979
886,0.81361
887,0.88034
888,1.0003
889,0.8313299999999999
890,0.9999399999999999
891,0.7528699999999999
892,0.8637600000000001
893,1.0006
894,0.9988299999999999
895,0.99941
896,0.89069
897,0.99985
898,0.99798
899,0.9997299999999999
900,0.9984799999999999
901,0.85645
902,0.9998600000000001
903,1.0011
904,0.9601799999999999
905,0.86739
906,0.88945
907,0.8283200000000001
908,1.0003
909,0.80632
910,1.0005
911,0.83085
912,1.0009
913,0.78341
914,0.86111
915,0.88875
916,0.9984700000000001
917,0.9996799999999999
918,0.86729
919,0.8243299999999999
920,0.8773700000000001
921,0.9995799999999999
922,0.9434600000000001
923,0.9996
924,1.0016
925,0.8734299999999999
926,1.0002
927,0.9994200000000001
928,0.84903
929,0.9992
930,0.9994700000000001
931,0.7821899999999999
932,0.85709
933,0.95488
934,1.0007
935,0.9999899999999999
936,0.8524799999999999
937,0.8692799999999999
938,0.99805
939,1.0012
940,1.0004
941,0.8332299999999999
942,1.0019
943,0.81653
944,1.0022
