,m
638,1.0004
639,0.7611
640,0.8144899999999999
641,0.82027
642,0.8832399999999999
643,0.99997
644,0.8701700000000001
645,0.79038
646,0.9620299999999999
647,0.81868
648,1.0015
649,0.8699399999999999
650,0.9996700000000001
651,0.76185
652,0.9999399999999999
653,0.80713
654,1.0023
655,0.88535
656,0.99879
657,0.76575
658,0.9996700000000001
659,0.8206700000000001
660,1.0017
661,0.99916
662,1.0008
663,0.99964
664,0.8492200000000001
665,0.88569
666,1.0005
667,1.0009
668,0.84096
669,0.8671
670,0.9985799999999999
671,0.99925
672,0.9991200000000001
673,0.85355
674,1.0005
675,0.82844
676,0.99961
677,0.86049
678,0.8256899999999999
679,0.8106899999999999
680,0.8755299999999999
681,0.8295600000000001
682,0.9991200000000001
683,1.0008
684,0.9993200000000001
685,0.9293899999999999
686,0.99997
687,0.99975
688,0.79819
689,0.9999899999999999
690,0.9999
691,0.9992200000000001
692,0.84583
693,0.89151
694,0.99859
695,1.0001
696,0.86093
697,1.0013
698,0.85278
699,0.9408200000000001
700,1.0007
701,0.86525
702,0.89217
703,0.7186
704,1.0004
705,0.99877
706,1.0004
707,0.9999
708,0.99955
709,1.0009
710,0.99869
711,0.7506
712,0.85425
713,0.99982
714,0.9192799999999999
715,0.78514
716,0.902
717,0.86124
718,0.7734300000000001
719,1.0014
720,0.88576
721,0.8408100000000001
722,0.75839
723,0.9993
724,0.9996200000000001
725,1.0007
726,0.8170000000000001
727,1.0013
728,0.79333
729,0.9993700000000001
730,0.87672
731,0.8397399999999999
732,0.9993200000000001
733,1.0004
734,0.9469799999999999
735,0.83705
736,1.0011
737,0.9020299999999999
738,0.9219700000000001
739,1.0011
740,0.9998600000000001
741,1.0007
742,1.0015
743,1.0004
744,1.0003
745,0.94066
746,1.002
747,0.9992
748,0.87803
749,0.9978799999999999
750,0.86554
751,0.8221
752,0.85955
753,0.8284
754,0.9259799999999999
755,0.99964
756,1.0004
757,0.83175
758,0.76157
759,1.0004
760,0.88985
761,0.9999
762,0.81981
763,1.0011
764,0.85021
765,0.85726
766,1.0009
767,1.0021
768,0.9998299999999999
769,0.9997299999999999
770,0.7863
771,0.9982200000000001
772,0.99835
773,1.0013
774,0.9980399999999999
775,0.8732200000000001
776,0.76268
777,0.8594
778,0.9989299999999999
779,0.99959
780,0.9999100000000001
781,0.78706
782,0.8204799999999999
783,0.89636
784,0.86503
785,1.0003
786,0.73125
787,0.9986799999999999
788,0.9994
789,1.0005
790,1.0005
791,0.87885
792,1.0009
793,0.9989299999999999
794,0.80372
795,0.90665
796,0.9987
797,1.0011
798,1.0
799,0.8918799999999999
800,0.98769
801,0.78672
802,0.82289
803,0.83229
804,0.99997
805,0.8377600000000001
806,1.0008
807,0.99913
808,0.99969
809,0.77565
810,0.93035
811,1.0003
812,0.99964
813,0.9982
814,0.8572299999999999
815,1.0008
816,0.8093
817,0.9998
818,1.0008
819,0.79548
820,0.8472
821,0.8101
822,0.78063
823,1.0005
824,0.79447
825,0.99941
826,0.8414200000000001
827,0.80401
828,1.0005
829,0.92705
830,0.9248200000000001
831,0.9416
832,1.0004
833,0.86111
834,0.8768
835,0.81375
836,0.9096299999999999
837,0.99871
838,0.78776
839,0.94981
840,1.0005
841,0.80013
842,0.8363299999999999
843,0.9987
844,1.0013
845,0.81795
846,1.001
847,1.0015
848,1.0014
849,0.99902
850,0.99902
851,0.8836
852,0.9978799999999999
853,0.82196
854,1.0015
855,0.90085
